"BAAN NUMBER", "SAP NUMBER", "MATERIAL DESCRIPTION", "PURCHASE ORDER TEXT"
"413208","1203210","FITTING MALE 849 FS 24X2","ELBOW 849FS-24X24       G6-S8"
"415353","1203211","VALVE, SOLENOID, #8210G2","VALVE 1/2"" NPT      H8-S11"
"415354","1203212","VALVE, 1-1/2"" NPT, #8210G22","H8-S8"
"415355","1203213","VALVE, SOLENOID, #8210G4","1"" NPT 2 N.C.      H8-S13"
"415356","1203214","VALVE, SOLENOID, #8210G9","3/4"" 2NC 120/V COIL       H8-S13"
"415357","1203215","VALVE, #8210D14, 1"" ASCO","H8-S11"
"413740","1203216","HYDRAULIC #PG-120-HH","FILTER ELEMENT             G7-S6"
"415358","1203217","VALVE, SOLENOID, #8262C2","1/8"" NPT 2 N.C. ASCO       H8-S13"
"415359","1203218","8262C22 1/4 ASCO VALVE","H8-S9"
"415449","1203219","RETURN POST FILTER ELEMENT","PART#88343348 (FOR 20-033)     H6-S7"
"412004","1203220","HAMMER LOCK COUPLI 664250 1/2","LOCK COUPLING      G5-S5"
"522507","1203221","2023C5711 PLATE","M5-S3"
"524209","1203222","PADDLES, #KM37-20-00-03","FOR KADET 75# KLOSTER MX.       N8-S7"
"522217","1203223","2040D3900 STRAP WHEEL","(REPLACED 2040D1361)     M7-S9"
"518128","1203224","1AH15-1291-1 VALVE","ASSY. HIGH PRESSURE      K4-S11"
"518129","1203225","AH15-1255 VALVE ASSY","LOW PRESSURE DISCHARGE       K4-S11"
"520121","1203226","BUSHING 100-0700-3","INSULATOR 26"" LONG       K6-S1"
"522227","1203227","2040D1671 RELIEF VALVE","M7-S9"
"522228","1203228","2040B0881 SEALING STRIPS","M2-S4"
"522338","1203229","2011F5341 NOZZLE-NUT","M4-S8"
"522339","1203230","2040G0021 PROTECTING TUBE","M2-STANDING"
"418163","1203231","1 1/2"" STEEL LOCKING COLLAR","LOCKING COLLAR      J8-S1"
"418164","1203232","2"" STEEL LOCKING COLLAR","COLLAR--SELF LOCKING      J8-S1"
"417369","1203233","BEARING #W307KLL  FAFNIR","I2-S7"
"421152","1203234","3/8"" X 6"" THREADED NIPPLE","NIPPLE SCH. 80    J2-S3"
"421153","1203235","1/2""NPT X CLOSE NIPPLE","THREADED NIPPLE SCH. 80      J2-S3"
"421154","1203236","1/2"" X 3"" NIPPLE SCH.","80 BLACK PIPE       J2-S3"
"417383","1203237","BEARING, CUP, 3120","I4-S6"
"421155","1203238","1/2"" X 6"" NIPPLE SCH.","80 BLK. PIPE       J2-S3"
"421156","1203239","3/4"" X CLOSE NIPPLE","NIPPLE SCH. 80       J2-S3"
"417384","1203240","BEARING, CONE, 3187","I4-S6"
"417123","1203241","BEARING, SR8FF","I1-S4"
"417131","1203242","9108K1037 BALL BEARING","I1-S4 (10024143)"
"421157","1203243","3/4"" X 2"" BLACK PIPE NIPPLE","NIPPLE SCH. 80       J2-S3"
"421158","1203244","3/4"" X 3"" NIPPLE SCH. 80","J2-S3"
"421159","1203245","3/4"" X 4"" NIPPLE SCH. 80","J2-S3"
"421160","1203246","3/4"" X 4 NIPPLE","1/2"" NIPPLE SCH. 80       J2-S3"
"421192","1203247","1/2""NPT BLK.PIPE UNION","UNION SCH. 80      J2-S7"
"421193","1203248","3/4"" UNION SCH. 80","J2-S7"
"421119","1203249","3/4"" THREADED BUSHING","COUPLING SCH. 80       J3-S7"
"421120","1203250","THREADED COUPLING 1""","COUPLING SCH. 80      J3-S7"
"417838","1203251","BEARING, FLANGE, 2"" FC900","PART IS OBSOLETE    I8-S5"
"417843","1203252","BEARING,FLANGE, 1-1/2"" PILOTED","SFC24C SEALMASTER     I7-S6"
"417844","1203253","BEARING, FLANGE, 2-3/16"" RCJT","2 BOLT (FAFNIR)      I8-S9"
"417900","1203254","BEARING, 2-15/16"", TYPE K","WIDE SLOT          I9-S3"
"420166","1203255","HOOK LATCH KIT 43307-4","REPLACED BY PT# 4X1304               J3-S3"
"417404","1203256","BEARING 112KSZZ","I2-S3"
"417406","1203257","SJ9717 ROLLER BEARING","I3-S5"
"421105","1203258","3/4"" X 1 1/4"" THREADED","BUSHING SCH.80       J3-S8"
"421106","1203259","3/4"" X 2"" THREADED BUSHING","BUSHING SCH. 80       J3-S8"
"417901","1203260","BEARING, TAKE-UP, 1-15/16"" SCM","#NSTUSCM115 (135109)           I9-S3"
"518808","1203261","TUBE HOOKS 209818","(WHEELABRATOR)       K5-S3"
"523499","1203262","SALINA VORTEX GATE VALVE","ASSEMBLY (51516-001)     W28"
"801200","1203263","CONTROL FOR HAND WASH BASIN","BRADLEY 583-043      P2-S3"
"523817","1203264","DUCTILE STABILIZER *","PART# DS-1400  (USES 005523818)            O10-S4"
"521900","1203265","REACTOR SPRING KIT","(PART# 10-01-218-A) NAVY W/HARDWARE     N7-FL"
"522623","1203266","NOZZLE, VEE JET SPRAY, 80","PART# 0045426F                    M1-S1"
"522624","1203267","METER-1"" BADGER RCDL M70","PART# 50.732.2.1.1       M2-S5"
"522625","1203268","CLUTCH, PILOT MOUNT MODEL","PART# 00NE11S-217            W8-T"
"522626","1203269","COUPLING HALF FOR VERTICAL","PART# 00137538                    M1-S2"
"522627","1203270","PIN-FOR REDUCER COUPLING","PART# 0013754                    M1-S2"
"522628","1203271","BUSHING,COUPLING:1.37"" OD","PART# 0013755                   M1-S2"
"522629","1203272","BEARING,FOR VERTICAL SHAFT","PART# 0018009                   M1-S2"
"522630","1203273","SLEEVE,LOWER BEARING SEAL","PART# 0018018             M1-S1"
"519199","1203274","FLOW SWITCH","PART# 3406-003-0016              K6-S9"
"520205","1203275","SIEMENS ANALOG IN/OUT CARD","SIMATIC S7-300      M9-S7"
"302943","1203276","OVERLOAD HEATERS DD250","C4-S4"
"304294","1203277","FUSE TRS350R 600V RK5 TD F","PART# GOSTRS350R             C7-S8"
